Dimension: 2
Standard
Number of Nodes: 1000 Means: 21 22 20 21 19 19 20 21 19 19 21 21 20 19 22 21 21 22 19 20 20 20 21 20 20 21 21 22 22 21 22 21 20 24 20 19 21 20 23 20 21 23 21 22 20 20 20 22 21 20 22 20 24 20 19 20 20 19 22 20 20 21 19 21 20 22 21 20 21 22 21 19 21 20 19 20 20 19 20 20 19 19 20 20 20 22 21 21 21 20 20 21 19 21 20 21 21 19 20 20 20 20 20 20 19 18 20 20 20 21 21 20 20 21 22 20 23 21 20 20 21 20 23 20 21 19 20 18 20 20 20 21 21 19 22 21 20 21 19 20 22 20 20 21 25 22 20 21 20 19 20 21 20 23 19 19 21 21 21 20 22 19 20 21 22 19 19 21 22 23 21 21 22 19 22 20 21 20 22 19 21 20 22 21 22 21 20 19 20 21 20 22 18 20 22 20 21 20 20 20 
Number of Nodes: 3000 Means: 25 22 23 23 24 23 23 23 23 23 22 23 24 22 22 23 23 24 22 23 23 23 23 22 23 24 25 24 23 23 24 26 25 26 24 25 23 24 23 23 23 22 22 24 24 24 24 24 25 23 23 24 23 23 22 24 22 23 22 23 24 24 22 25 25 22 23 23 22 23 25 23 26 23 25 23 25 24 24 23 23 23 22 24 24 22 23 24 23 23 24 26 22 22 23 25 23 24 24 25 23 24 24 23 22 23 22 24 23 24 23 25 24 23 23 23 23 24 24 25 22 26 24 22 24 23 26 23 22 24 22 25 26 24 24 25 23 25 23 23 25 24 23 24 24 25 23 23 23 24 24 24 23 25 23 23 25 23 23 24 23 22 23 23 25 25 22 23 23 24 24 22 25 22 24 23 23 22 25 24 25 26 23 23 22 23 23 25 23 23 24 23 23 23 23 24 23 23 24 23 
Number of Nodes: 5000 Means: 28 25 24 24 27 24 23 24 24 26 26 28 29 27 25 24 27 25 28 26 25 23 25 27 25 25 25 25 24 25 23 25 23 27 25 24 25 24 27 26 23 24 25 24 24 25 26 25 25 26 24 26 26 25 25 26 24 25 25 24 24 25 26 27 24 23 25 25 24 23 27 24 24 27 26 26 26 24 26 24 25 27 24 25 25 24 26 25 26 24 26 24 23 26 24 25 25 25 27 27 25 24 25 25 28 24 25 23 24 24 25 26 26 24 25 27 26 23 24 25 24 27 24 24 25 24 28 26 25 24 26 24 24 24 27 27 24 25 25 26 25 25 24 25 24 25 26 25 27 23 25 25 24 25 25 28 24 25 24 25 23 24 25 26 25 26 25 24 24 24 27 25 26 27 25 24 25 23 25 26 27 25 24 26 27 25 24 26 26 25 25 26 24 24 25 27 27 26 25 27 
Number of Nodes: 7000 Means: 26 27 25 25 27 26 27 24 28 26 27 27 24 26 28 24 29 26 27 25 26 25 27 27 26 27 25 28 26 26 27 26 26 26 24 26 25 25 25 27 26 25 25 26 25 26 25 26 26 29 24 28 26 26 25 25 26 25 28 26 25 26 27 25 25 26 26 26 26 25 24 24 26 25 26 25 26 25 25 26 25 25 24 24 25 27 26 25 25 26 25 25 25 25 26 26 25 26 26 27 25 26 26 25 25 25 27 26 24 26 26 30 28 25 25 26 25 27 26 26 25 26 24 25 25 24 26 25 25 26 29 25 26 27 26 27 30 26 25 27 26 26 25 25 26 25 26 27 26 26 26 26 25 26 24 26 27 29 25 25 26 27 27 25 25 26 25 26 27 24 26 27 25 27 25 24 26 24 26 25 26 27 26 26 25 26 26 26 27 25 25 25 26 25 27 26 24 26 27 25 
Number of Nodes: 9000 Means: 28 25 26 26 26 28 25 27 28 27 25 27 27 26 27 26 26 26 29 26 28 28 27 26 27 26 28 26 27 27 25 26 26 26 27 25 26 25 26 27 26 28 26 26 28 27 26 25 27 26 27 25 26 29 27 27 25 25 26 27 27 26 25 27 28 30 30 26 27 27 28 25 25 27 26 25 25 27 25 29 27 26 28 27 25 25 27 25 26 29 28 26 26 27 27 27 27 24 27 29 26 25 30 26 26 26 25 27 26 27 25 25 25 27 26 27 27 27 27 26 26 27 25 27 27 27 27 27 26 27 27 26 27 28 28 28 28 27 28 27 26 27 26 28 28 26 27 27 25 28 26 25 26 27 24 28 26 25 26 25 26 25 26 25 26 27 26 29 26 26 25 27 26 26 27 28 26 26 25 27 25 26 26 27 27 26 27 25 25 26 29 27 27 26 26 28 26 26 29 26 
Number of Nodes: 11000 Means: 28 26 27 28 26 27 26 26 28 28 29 28 26 29 28 29 27 26 27 25 26 29 30 28 27 26 29 26 26 27 26 28 28 25 26 26 26 28 27 27 27 28 27 27 27 27 27 26 26 28 26 25 26 29 27 29 28 29 27 28 28 25 26 29 27 28 25 25 29 27 26 26 26 26 29 27 28 26 27 28 29 27 29 27 27 28 28 28 29 27 29 26 28 27 28 26 27 26 27 27 26 26 30 27 30 27 27 27 27 27 28 26 26 27 29 28 26 27 27 27 27 30 27 31 27 27 27 27 28 27 25 29 29 27 27 26 27 26 26 26 27 28 27 28 26 29 26 28 27 25 28 29 28 27 27 28 26 26 29 27 26 26 28 29 28 28 30 27 26 26 29 26 28 30 29 26 25 27 28 26 26 25 27 27 27 30 27 27 27 28 27 28 26 27 26 28 28 25 28 29 
Number of Nodes: 13000 Means: 27 27 27 29 30 28 28 27 29 28 29 28 27 27 28 28 28 27 28 28 29 26 26 28 29 28 27 26 26 27 27 29 28 27 26 28 26 27 28 28 26 27 27 27 28 28 28 30 29 26 29 28 28 26 27 28 31 28 27 28 27 29 27 29 27 28 27 27 28 30 27 28 27 29 28 26 29 27 27 28 28 28 30 28 29 28 26 27 29 28 31 29 28 27 28 30 26 27 26 27 28 28 28 26 28 29 28 28 27 28 28 29 27 29 27 28 27 27 30 30 27 29 27 28 27 27 29 26 26 27 27 30 27 27 28 27 28 29 28 28 26 26 27 26 28 27 28 28 27 28 28 26 28 27 30 27 27 28 27 27 28 27 29 27 29 28 28 27 29 27 29 32 27 27 29 29 27 29 27 28 30 27 27 29 29 28 28 29 26 28 28 27 28 29 28 28 27 27 31 27 
Number of Nodes: 15000 Means: 27 27 27 26 30 27 27 30 28 28 29 29 29 27 29 27 28 29 28 26 28 26 28 26 28 30 27 27 27 29 27 28 29 28 27 29 28 30 27 27 27 28 28 26 28 27 27 27 28 28 27 27 28 28 30 29 29 27 27 27 29 26 27 28 29 28 28 30 28 28 28 27 28 27 27 27 27 29 28 29 28 28 29 28 27 28 28 27 29 27 29 31 28 28 26 28 27 28 29 28 27 27 28 28 27 28 29 28 27 28 28 28 29 27 28 29 30 27 30 29 28 27 29 27 29 30 29 29 27 28 29 27 28 27 27 26 28 29 28 27 27 27 29 27 27 28 29 27 30 27 28 28 27 27 29 29 29 28 27 28 28 29 26 27 27 28 27 27 28 27 27 29 27 27 27 27 27 28 31 27 29 27 29 29 29 30 27 27 29 26 30 27 27 27 27 29 29 27 28 28 
Number of Nodes: 17000 Means: 29 28 28 27 30 28 29 30 29 29 27 30 31 29 28 27 32 28 29 28 27 27 29 30 29 27 32 28 28 30 28 28 27 27 27 28 30 29 28 30 28 28 27 30 29 29 29 29 27 27 29 28 29 30 32 28 28 28 29 28 28 29 28 29 28 29 28 27 28 27 27 28 27 29 29 29 27 28 28 27 30 29 29 31 28 28 27 28 30 29 28 30 28 29 29 28 28 30 27 28 28 31 28 28 28 27 29 28 28 29 27 29 28 29 28 29 28 27 30 27 28 29 30 31 30 28 27 29 28 29 28 27 28 28 27 29 29 28 31 27 29 27 29 30 28 27 29 27 29 27 28 30 28 27 28 28 29 30 28 28 27 28 27 29 28 28 28 27 27 28 30 27 28 27 28 28 27 28 29 30 27 29 28 27 26 27 27 29 28 28 28 28 27 32 28 30 29 27 27 27 
Number of Nodes: 19000 Means: 28 28 29 27 28 27 28 28 28 29 28 27 28 27 28 28 29 29 30 29 28 28 28 30 31 31 28 28 28 27 29 28 31 32 28 28 27 28 29 28 28 30 28 28 29 28 30 29 30 29 29 28 28 28 28 30 28 30 30 29 29 28 27 28 28 28 30 29 28 28 28 28 30 27 28 27 28 28 30 27 29 29 29 30 28 29 28 28 28 29 27 29 29 30 27 29 31 31 30 26 27 29 27 29 29 29 31 27 32 27 30 27 28 30 29 28 28 28 28 28 29 30 31 29 28 28 28 30 30 30 28 28 28 29 30 29 29 31 27 30 29 30 28 29 29 27 29 28 27 29 29 29 29 28 28 28 30 29 29 29 29 28 30 29 28 28 30 30 32 29 29 31 29 29 28 30 31 28 28 28 28 28 28 30 29 29 29 28 32 29 29 28 28 29 31 28 27 29 28 28 
Number of Nodes: 21000 Means: 31 31 29 28 29 29 28 30 28 28 31 30 31 28 29 31 30 29 29 29 27 28 29 32 29 29 28 28 28 28 29 28 30 28 29 27 27 29 27 27 30 29 27 31 28 28 29 28 30 28 27 28 28 29 31 28 29 29 28 32 29 28 30 28 28 30 30 28 29 28 30 29 30 28 28 28 29 32 30 30 28 30 29 28 27 28 29 29 29 29 30 28 28 30 31 28 32 28 29 30 30 30 30 33 29 29 30 30 28 28 29 29 31 27 29 28 30 28 31 28 30 27 32 28 27 30 29 29 30 29 31 28 30 29 28 28 28 27 29 30 29 28 29 28 28 29 28 29 29 28 29 28 30 27 28 29 30 29 29 29 33 27 27 29 31 31 29 28 29 31 29 28 28 30 30 29 29 29 28 30 27 30 28 28 28 29 29 30 29 29 29 29 27 31 26 29 29 29 29 31 
Number of Nodes: 23000 Means: 30 29 31 30 29 29 29 31 29 29 30 29 30 30 29 29 31 30 30 30 31 28 28 30 28 29 31 28 30 30 32 30 28 29 31 28 28 29 27 28 28 28 31 30 31 28 28 29 29 29 29 29 32 32 31 30 30 30 32 27 31 29 29 29 29 28 28 29 29 28 28 29 30 31 28 28 31 29 28 30 28 27 30 29 30 32 28 29 27 29 31 29 29 30 29 29 30 28 31 31 29 30 28 30 29 28 29 29 29 30 28 31 29 28 32 30 29 28 30 28 30 28 28 28 27 27 30 31 30 29 29 30 31 29 28 30 29 28 30 29 29 29 30 34 30 27 29 28 30 31 30 32 30 28 27 28 28 29 28 29 30 28 30 29 31 30 31 28 30 29 28 28 29 30 30 30 30 29 28 30 30 31 30 29 28 28 28 30 30 30 29 30 29 29 30 28 30 28 29 31 
Number of Nodes: 25000 Means: 29 30 31 29 29 28 30 29 30 29 34 30 30 31 29 29 31 30 29 30 30 29 29 30 28 30 29 29 31 30 28 31 28 29 29 28 31 30 32 30 30 31 29 29 29 29 29 28 29 29 30 31 28 29 30 29 28 30 30 30 30 29 29 30 30 29 27 29 28 27 28 30 31 29 30 28 31 31 29 28 28 28 29 29 29 33 30 30 28 31 29 32 30 29 29 28 29 28 28 29 28 29 30 29 30 29 28 31 30 28 28 28 30 31 29 29 29 29 29 30 30 30 28 30 31 30 28 30 29 28 31 30 30 29 31 29 32 28 29 30 28 29 28 29 30 31 30 29 30 28 29 29 28 32 29 31 29 30 30 29 29 28 31 27 30 31 28 30 28 32 28 29 31 29 32 31 29 28 31 30 28 28 30 30 29 29 31 32 30 30 31 29 28 30 29 30 29 28 31 30 
Number of Nodes: 27000 Means: 30 30 29 31 30 30 30 29 29 31 29 30 29 29 32 29 28 28 29 29 32 29 29 30 29 33 30 28 30 30 29 29 31 32 28 28 31 30 29 30 31 31 31 29 29 31 30 30 29 30 30 29 29 32 30 30 29 29 30 29 31 28 28 29 30 29 30 29 29 30 30 29 30 32 32 31 31 28 30 29 31 30 29 29 29 29 28 29 29 30 30 31 31 29 29 29 29 32 29 28 31 30 29 28 31 29 29 30 29 31 29 30 28 28 29 30 27 28 30 27 32 29 29 31 34 32 30 29 29 31 30 29 31 29 31 28 30 29 30 30 29 28 31 29 28 28 30 30 30 29 31 30 28 32 31 29 30 30 29 28 29 30 33 31 29 31 29 30 28 30 28 30 31 29 28 31 30 29 30 30 28 29 30 28 29 29 29 30 28 30 29 30 29 28 28 27 30 31 28 31 
Number of Nodes: 29000 Means: 30 30 30 29 32 29 29 30 28 30 30 29 29 31 28 30 29 29 30 34 29 29 30 29 28 30 31 31 28 30 29 30 29 31 29 30 29 31 30 30 29 30 30 29 30 30 29 30 30 29 30 29 30 28 29 29 30 29 29 28 29 33 31 30 30 31 29 31 30 29 30 29 34 29 29 28 30 29 28 29 30 30 29 29 29 31 30 30 30 29 30 29 31 29 31 29 29 32 31 28 30 32 31 29 29 30 30 28 29 30 28 30 32 32 29 29 31 29 28 30 30 30 30 29 29 31 29 31 30 30 29 33 32 30 31 29 30 31 31 28 30 33 29 29 28 29 31 34 32 30 28 31 29 30 31 30 30 29 30 30 28 29 29 29 30 31 32 29 29 30 29 29 28 31 33 30 30 28 29 30 30 28 30 29 32 32 33 28 29 30 30 32 30 29 29 30 30 30 28 30 
Number of Nodes: 31000 Means: 31 30 29 29 29 29 32 29 28 31 31 31 32 31 29 32 28 33 31 29 29 31 31 31 30 29 29 29 32 31 31 28 30 31 30 29 29 29 29 31 30 31 30 30 28 30 31 31 29 30 31 30 31 30 30 29 29 29 30 29 30 29 32 29 32 30 29 30 29 32 31 28 30 31 31 29 31 30 31 29 31 32 30 31 30 30 31 30 29 30 32 29 30 30 29 31 31 30 30 31 30 31 28 29 31 32 29 30 33 29 29 29 29 29 30 30 29 31 29 30 29 29 33 30 31 31 30 31 29 30 32 29 30 29 31 30 30 31 31 30 34 29 30 30 30 29 28 31 31 29 31 31 31 30 31 30 31 30 31 28 29 30 33 29 30 29 28 30 33 30 29 32 31 30 31 30 31 31 31 31 29 30 28 31 29 29 30 29 30 30 32 29 32 28 31 29 33 29 32 28 
